train/loss_sparsity,train_params/lambda_sparsity,lr-Adam/f_dc,lr-Adam/opacity,train/loss_opaque,epoch,train_params/lambda_opaque,lr-Adam/xyz,lr-Adam/rotation,lr-Adam/f_rest,train_params/lambda_sds,lr-Adam/scaling,step
0.12115843594074249,1.0,,,0.037503503262996674,0,0.0,,,,1.0,,65
,,0.0125,0.01,,,,0.00023173227616169479,0.001,0.000625,,0.005,66
0.13071098923683167,1.0,,,0.06723646074533463,0,0.0,,,,1.0,,66
,,0.0125,0.01,,,,0.00023172692207108571,0.001,0.000625,,0.005,67
0.13631659746170044,1.0,,,0.07689850777387619,0,0.0,,,,1.0,,67
,,0.0125,0.01,,,,0.00023172156810418097,0.001,0.000625,,0.005,68
0.1384301483631134,1.0,,,0.0867815762758255,0,0.0,,,,1.0,,68
,,0.0125,0.01,,,,0.00023171621426097767,0.001,0.000625,,0.005,69
0.12239167094230652,1.0,,,0.06360714137554169,0,0.0,,,,1.0,,69
,,0.0125,0.01,,,,0.00023171086054147344,0.001,0.000625,,0.005,70
0.11298396438360214,1.0,,,0.02557678334414959,0,0.0,,,,1.0,,70
,,0.0125,0.01,,,,0.0002317055069456641,0.001,0.000625,,0.005,71
0.12554627656936646,1.0,,,0.04504472762346268,0,0.0,,,,1.0,,71
,,0.0125,0.01,,,,0.0002317001534735481,0.001,0.000625,,0.005,72
0.16963423788547516,1.0,,,0.09110275655984879,0,0.0,,,,1.0,,72
,,0.0125,0.01,,,,0.00023169480012512212,0.001,0.000625,,0.005,73
0.14480531215667725,1.0,,,0.08990435302257538,0,0.0,,,,1.0,,73
,,0.0125,0.01,,,,0.00023168944690038336,0.001,0.000625,,0.005,74
0.12278307974338531,1.0,,,0.04751920327544212,0,0.0,,,,1.0,,74
,,0.0125,0.01,,,,0.00023168409379932889,0.001,0.000625,,0.005,75
0.18118436634540558,1.0,,,0.11428558826446533,0,0.0,,,,1.0,,75
,,0.0125,0.01,,,,0.0002316787408219559,0.001,0.000625,,0.005,76
0.153965026140213,1.0,,,0.09369927644729614,0,0.0,,,,1.0,,76
,,0.0125,0.01,,,,0.00023167338796826193,0.001,0.000625,,0.005,77
0.17078417539596558,1.0,,,0.08641853928565979,0,0.0,,,,1.0,,77
,,0.0125,0.01,,,,0.0002316680352382433,0.001,0.000625,,0.005,78
0.12754040956497192,1.0,,,0.06640195101499557,0,0.0,,,,1.0,,78
,,0.0125,0.01,,,,0.00023166268263189715,0.001,0.000625,,0.005,79
0.12656714022159576,1.0,,,0.04641977697610855,0,0.0,,,,1.0,,79
,,0.0125,0.01,,,,0.00023165733014922146,0.001,0.000625,,0.005,80
0.14912326633930206,1.0,,,0.0823671817779541,0,0.0,,,,1.0,,80
,,0.0125,0.01,,,,0.00023165197779021295,0.001,0.000625,,0.005,81
0.18113946914672852,1.0,,,0.11063528060913086,0,0.0,,,,1.0,,81
,,0.0125,0.01,,,,0.00023164662555486917,0.001,0.000625,,0.005,82
0.131771057844162,1.0,,,0.052114538848400116,0,0.0,,,,1.0,,82
,,0.0125,0.01,,,,0.00023164127344318646,0.001,0.000625,,0.005,83
0.12944193184375763,1.0,,,0.04863176867365837,0,0.0,,,,1.0,,83
,,0.0125,0.01,,,,0.00023163592145516193,0.001,0.000625,,0.005,84
0.13263270258903503,1.0,,,0.05701921880245209,0,0.0,,,,1.0,,84
,,0.0125,0.01,,,,0.00023163056959079356,0.001,0.000625,,0.005,85
0.13275457918643951,1.0,,,0.05029799044132233,0,0.0,,,,1.0,,85
,,0.0125,0.01,,,,0.00023162521785007807,0.001,0.000625,,0.005,86
0.1468702256679535,1.0,,,0.07325710356235504,0,0.0,,,,1.0,,86
